photo,tag ID,user id
1,13,1
1,17,1
1,18,2
1,19,2
1,21,3
2,2,3
2,3,1
2,4,1
2,20,2
3,8,2
4,11,3
4,12,3
4,13,1
4,21,1
5,14,2
5,15,2
5,16,3
5,17,3
6,13,1
6,17,1
6,19,2
6,21,2
7,11,3
7,12,3
7,13,1
7,21,1
8,13,2
8,17,2
8,19,3
8,21,3
9,18,1
10,2,1
11,11,2
11,12,2
11,21,3
12,4,3
13,13,1
13,19,1
14,1,2
14,20,2
17,13,3
17,18,3
17,19,1
19,5,1
21,1,2
21,3,2
21,4,3
21,20,3
22,5,1
22,6,1
22,7,1
23,13,1
23,18,1
23,19,1
23,21,1
24,12,1
24,13,1
24,21,1
25,8,1
25,10,1
25,21,1
26,8,1
26,9,1
26,10,1
26,20,1
26,21,1
28,9,1
28,10,1
29,8,1
29,9,1
29,20,1
29,21,1
30,5,1
30,6,1
30,7,1
31,5,1
31,7,1
32,8,1
32,9,1
32,10,1
32,20,1
32,21,1
34,11,1
34,12,1
34,13,1
35,5,1
35,6,1
35,7,1
36,5,1
36,6,1
36,7,1
37,13,1
37,18,1
37,21,1
38,2,1
38,3,1
43,11,1
43,12,1
43,21,1
44,10,1
44,20,1
45,1,1
45,3,1
47,20,1
49,18,1
49,21,1
50,5,1
51,8,1
51,20,1
51,21,1
53,8,1
55,12,1
56,11,1
57,13,1
57,17,1
57,18,1
57,19,1
57,21,1
58,8,1
59,9,1
59,10,1
59,20,1
59,21,1
60,15,1
60,16,1
60,17,1
61,10,1
61,20,1
62,2,1
63,6,1
64,11,1
64,12,1
64,13,1
64,21,1
65,5,1
65,7,1
66,15,1
66,17,1
68,11,1
68,21,1
70,11,1
70,12,1
70,21,1
71,14,1
71,15,1
71,16,1
72,8,1
72,20,1
72,21,1
73,13,1
73,21,1
74,15,1
74,16,1
75,1,1
75,4,1
75,20,1
76,11,1
76,12,1
78,15,1
78,16,1
78,17,1
79,5,1
79,6,1
79,7,1
83,1,1
83,3,1
84,13,1
84,17,1
84,18,1
85,1,1
85,3,1
85,20,1
86,13,1
87,12,1
87,13,1
87,21,1
88,17,1
88,18,1
90,14,1
90,17,1
91,1,1
91,3,1
91,4,1
92,19,1
93,13,1
93,17,1
93,18,1
93,21,1
94,13,1
94,17,1
94,18,1
94,19,1
94,21,1
95,13,1
95,17,1
95,18,1
95,19,1
95,21,1
96,15,1
96,17,1
97,5,1
97,6,1
97,7,1
98,14,1
98,15,1
98,16,1
98,17,1
100,20,1
101,14,1
101,16,1
102,14,1
102,15,1
102,16,1
103,5,1
107,11,1
107,12,1
107,21,1
108,11,1
109,8,1
109,9,1
109,10,1
110,2,1
111,14,1
111,15,1
111,16,1
111,17,1
112,9,1
112,20,1
112,21,1
116,7,1
117,21,1
118,1,1
118,4,1
118,20,1
120,17,1
120,19,1
120,21,1
121,11,1
121,12,1
121,13,1
121,21,1
122,15,1
123,14,1
123,15,1
123,17,1
124,15,1
124,16,1
124,17,1
125,11,1
125,12,1
126,2,1
126,3,1
126,4,1
127,21,1
131,5,1
132,13,1
132,17,1
132,18,1
132,19,1
132,21,1
133,14,1
133,15,1
133,16,1
133,17,1
134,11,1
134,12,1
134,13,1
134,21,1
135,17,1
136,8,1
136,9,1
136,10,1
136,20,1
136,21,1
137,11,1
137,12,1
137,13,1
137,21,1
138,9,1
138,10,1
138,20,1
139,5,1
140,11,1
140,12,1
141,17,1
142,20,1
142,21,1
145,13,1
145,17,1
145,18,1
145,19,1
145,21,1
147,5,1
148,11,1
149,1,1
149,2,1
149,4,1
149,20,1
152,14,1
152,15,1
152,16,1
152,17,1
153,14,1
153,15,1
153,16,1
153,17,1
154,21,1
155,8,2
155,9,2
155,10,2
155,20,2
155,21,2
156,5,2
156,6,2
157,11,2
157,12,2
157,13,2
157,21,2
158,15,2
159,5,2
160,5,2
161,11,2
162,14,2
162,15,2
162,17,2
163,13,2
163,19,2
163,21,2
166,13,2
166,17,2
168,5,2
168,6,2
169,12,2
171,8,2
171,9,2
171,10,2
171,20,2
171,21,2
172,14,2
172,15,2
172,16,2
173,15,2
173,16,2
173,17,2
174,5,2
175,17,2
175,18,2
177,15,2
177,17,2
178,16,2
181,5,2
181,7,2
182,8,2
182,10,2
182,20,2
182,21,2
183,5,2
184,12,2
184,13,2
184,21,2
185,8,2
185,9,2
185,10,2
185,20,2
185,21,2
188,11,2
188,13,2
188,21,2
189,8,2
189,10,2
189,20,2
190,17,2
190,18,2
191,5,2
191,6,2
194,1,2
197,13,2
197,18,2
197,19,2
197,21,2
199,11,2
199,13,2
201,1,2
201,2,2
201,3,2
201,4,2
201,20,2
202,17,2
202,18,2
202,19,6
202,21,6
203,17,6
203,18,6
203,19,6
205,17,6
205,18,6
205,21,6
206,14,6
207,13,6
207,21,6
208,4,6
208,20,6
209,2,6
209,3,6
209,20,6
210,1,6
210,2,6
211,13,6
211,18,6
212,8,6
212,9,6
212,20,6
212,21,6
214,14,6
214,15,6
214,16,6
214,17,6
216,1,6
216,3,6
218,8,6
218,20,6
219,13,6
219,17,6
219,18,6
219,19,6
219,21,6
220,2,6
220,3,6
220,4,6
220,20,6
221,12,6
221,13,6
221,21,6
222,7,6
225,7,6
226,11,6
226,12,6
226,13,6
226,21,6
227,1,6
227,2,6
227,3,6
227,4,6
227,20,6
228,20,6
230,8,6
230,9,6
230,10,6
230,20,6
230,21,6
231,1,6
231,3,6
231,4,6
232,8,6
232,9,6
232,10,6
232,20,6
232,21,6
233,1,6
233,2,6
233,3,6
233,20,6
235,10,6
237,10,6
237,20,6
238,1,6
238,2,6
238,3,6
238,4,6
238,20,6
239,17,6
239,18,6
239,21,6
240,4,6
240,20,6
242,1,6
242,2,6
242,4,6
242,20,6
243,1,6
244,5,6
244,6,6
244,7,6
247,14,6
247,16,6
248,9,6
248,10,6
249,5,6
249,7,6
250,14,6
250,15,6
250,16,6
251,11,6
253,7,6
254,2,6
254,3,6
254,4,6
254,20,6
257,13,6
257,18,6
257,19,6
