id,tag text,created time,location
1,sunset,13-04-2023 08:04,florida
2,photography,13-04-2023 08:04,washington DC
3,sunrise,13-04-2023 08:04,new york
4,landscape,13-04-2023 08:04,london
5,food,13-04-2023 08:04,brazil
6,foodie,13-04-2023 08:04,japan
7,delicious,13-04-2023 08:04,Mumbai
8,beauty,13-04-2023 08:04,bangalore
9,stunning,13-04-2023 08:04,florida
10,dreamy,13-04-2023 08:04,washington DC
11,lol,13-04-2023 08:04,new york
12,happy,13-04-2023 08:04,london
13,fun,13-04-2023 08:04,brazil
14,style,13-04-2023 08:04,japan
15,hair,13-04-2023 08:04,Mumbai
16,fashion,13-04-2023 08:04,bangalore
17,party,13-04-2023 08:04,florida
18,concert,13-04-2023 08:04,washington DC
19,drunk,13-04-2023 08:04,new york
20,beach,13-04-2023 08:04,london
21,smile,13-04-2023 08:04,australia
